RowNumber,CustomerId,Surname,credit_score,age,balance,estimated_salary,client_risk,random_id,timestamp,junk_feature
46,da0b39ab-072c-4604-9e6d-26ba1e69b115,Smith,614,37,47881.93,9314.41,2,24361037,2023-07-29 17:03:19,-0.6855
47,6762a014-a46e-4d9a-a6e5-833f7409f7f5,Garcia,626,25,131676.79,14379.11,2,92034014,2023-11-12 14:25:38,0.9737
48,db5c377d-5079-4ac9-9fd3-e9eb90093f1a,Smith,702,45,34663.59,25994.89,1,93076594,2023-02-26 07:42:13,0.6547
49,89f30fee-a84e-4235-a606-20a2cf35c363,Garcia,667,68,109927.49,20671.92,2,51551058,2023-08-24 02:34:08,-0.7289
50,d8f92333-b99e-4b54-a055-c9946880ab6b,Rodriguez,561,36,30262.79,66251.28,1,64404208,2023-02-14 04:41:52,0.3912
51,b0ca997a-6e85-4245-a12a-81c65fe27cbd,Smith,666,33,16232.87,105662.84,0,67159796,2023-07-26 08:14:43,1.329
52,df14edab-ad56-479b-96cf-e021177092f5,Davis,630,28,124093.31,12798.05,2,93187003,2023-04-19 14:03:41,-0.9607
53,c869c75e-e7e8-4ced-9439-0bb7d0b5024b,Jones,616,59,24545.85,49666.59,1,29789232,2023-08-17 20:16:11,-0.2133
54,c1c1ae68-869a-43b1-b8e3-0070c5703d8f,Garcia,680,25,34998.93,27514.51,1,80174920,2023-05-07 13:14:05,-0.2328
55,18885505-9a6a-445d-8845-ec882b820357,Brown,701,50,19938.92,42286.21,1,21591002,2023-01-02 19:00:41,-0.3577
56,d1e1bd9a-c3c7-433f-b4a3-b5e5b16ec037,Johnson,696,27,54359.53,58174.82,1,20494075,2023-09-23 12:05:32,0.8019
57,b2e13370-f5c1-456e-99e6-354a197818d3,Davis,608,35,265229.1,134432.88,2,33289683,2023-05-28 14:28:21,0.8811
58,49b42369-b009-41ae-86a7-5e3d317072c4,Davis,634,52,1292.23,12813.33,1,33277723,2023-06-12 01:45:38,0.4067
59,80d80269-81ea-4afc-8c4f-af1d451d4b6f,Garcia,666,60,115053.32,5461.6,2,97445912,2023-09-02 10:29:16,0.3589
60,5a53fa8c-3a99-45f7-b7b9-4ff322016f6c,Rodriguez,698,67,196.69,59204.71,0,21082959,2023-08-10 02:48:42,-0.5622
61,07713eb4-a906-457c-9f23-6a04502157e0,Miller,626,20,22645.75,30065.47,1,78653521,2023-01-06 03:47:54,0.3305
62,c9b43232-5506-43fe-9a2a-d9fd5b844e2e,Williams,640,57,9232.62,10668.9,1,29903651,2023-02-10 13:58:19,-1.2852
63,763743cf-c19b-48fc-8443-8fd8546fecdf,Jones,594,44,70805.07,7471.73,2,16845187,2023-11-18 14:59:07,2.4785
64,65122bcf-c67f-4c1a-ab3c-1c4e00350448,Williams,590,45,2596.82,49110.35,1,74632084,2023-09-03 17:14:28,1.3503
65,adc42647-c0ad-4f94-9720-a5e38a679bea,Wilson,690,63,40314.11,21440.85,1,52012506,2023-12-15 08:57:45,0.9565
66,b37e1282-7d47-46b1-964e-877ce21d95f7,Rodriguez,717,23,17472.64,357746.5,0,80913728,2023-06-22 02:24:10,0.4083
67,a02f4d61-9439-493d-9820-77706e1dad2e,Jones,646,64,7174.48,31242.54,1,17818052,2023-01-18 10:33:51,0.4092
68,b35a23c1-640d-4012-a5ae-70b3532e1d5b,Davis,700,31,73880.63,14317.26,2,96348779,2023-07-15 23:10:11,-1.6901
69,4fa6d9a2-1eca-46a6-a797-65578af3c846,Wilson,668,24,12257.75,59468.78,1,86173705,2023-03-21 22:41:45,-1.2586
70,31ac8c08-d866-4db9-8f0f-e6dcd3d5f547,Davis,617,27,12659.22,16803.07,1,55828145,2023-10-26 15:20:11,-1.134
71,bb1c0bc9-6a80-4462-998f-4bf10ce4746d,Davis,668,32,16084.48,40883.32,1,15787225,2023-06-07 23:58:10,0.0584
72,9992f86b-fedd-443c-aec7-890494093d81,Wilson,726,48,44187.16,39533.58,1,86876866,2023-05-11 16:58:48,-0.2815
73,5c0931fc-a45e-4132-a4b0-d246b96bed81,Brown,648,46,53891.38,36259.59,1,84421267,2023-05-06 14:08:35,0.8113
74,e4ae66d1-db28-4e0d-81fe-e4ce630914a7,Brown,728,59,887.96,95403.33,0,67598020,2023-02-20 06:02:33,-0.9655
75,ca9993d9-7e18-46a9-910c-68bfbd14c695,Williams,519,34,13845.0,14647.71,2,90464325,2023-02-25 09:25:34,1.0266
76,854ee247-1444-4c10-9109-03c814c5b132,Brown,691,68,28191.18,140796.8,0,21264024,2023-11-21 00:54:46,-0.8204
77,9f6f2060-22ec-498f-89df-9b46ec04f69a,Rodriguez,654,46,20171.63,94023.09,0,98230197,2023-02-20 18:09:24,-0.418
78,99159cd6-0d9b-4b83-b552-e6806c93085d,Jones,635,66,107781.87,24308.92,2,31000203,2023-03-14 02:59:50,0.8954
79,d734257f-de25-4943-ba71-968c91b99bbc,Miller,654,61,77489.8,11951.16,2,92969152,2023-03-17 01:57:24,0.5047
80,06b6db9b-6851-47b0-94d8-09287f2d0579,Brown,550,32,49160.3,19671.51,2,89051445,2023-11-05 10:14:10,-1.2515
81,f9c98bc8-d8b0-4259-a10a-e31b31eb1f85,Smith,639,43,20627.69,24265.2,1,44451689,2023-08-29 11:49:41,1.0641
82,a5e566c8-9b4a-4223-ab28-a070367df119,Davis,667,29,60310.82,48842.08,1,82561556,2023-06-24 05:23:26,0.089
83,def65e10-cc20-4808-b1e3-80edb4eb4016,Davis,723,42,92779.08,2848.66,2,62599940,2023-03-21 19:25:15,-2.1422
84,b54911c3-9715-4fbb-bf82-b75e328a7ecc,Miller,624,58,45172.47,147455.56,0,58161358,2023-08-06 13:24:53,-0.8427
85,86a7cbf3-e12f-401d-a96c-8fc39c1f214a,Brown,609,22,76730.78,6233.35,2,30317827,2023-05-13 02:46:23,-0.4096
86,cd8288c5-2ef0-4092-80bf-8d030a4d46dc,Wilson,624,21,69136.03,19649.72,2,59306448,2023-06-12 13:03:47,-1.1693
87,6e03bdde-5519-4a65-8d0e-3bea63bba970,Garcia,695,61,42400.93,6944.01,1,46615990,2023-11-20 17:34:06,1.3427
88,f9bfb9f0-c0d3-4686-9cfc-983f183989ff,Garcia,666,65,18711.64,17797.14,1,64327100,2023-03-18 23:44:48,-0.3748
89,eb9ee8b1-ec37-41b8-87c9-53d836b500e3,Smith,623,58,68478.19,109088.85,0,83438919,2023-12-18 15:45:22,0.4602
90,0291bb94-cee7-47d1-abde-a9238b506107,Rodriguez,675,48,11583.77,57298.12,1,29411556,2023-09-03 15:43:30,0.2066
91,18ca7ed7-5767-4f8b-a85c-764281c6af1e,Garcia,654,20,75590.24,15473.67,2,34096919,2023-11-02 19:13:21,0.7057
92,2dca86ff-0855-4e1f-9ca0-3b9854bfa616,Johnson,698,70,81621.69,123230.42,0,52986947,2023-04-13 18:54:01,1.6731
93,1787ff03-1e83-4724-8ff1-b2535d32d924,Rodriguez,614,20,86339.3,96780.27,1,10691991,2023-01-06 14:11:26,0.6757
94,9deee96a-bf93-4772-b966-ba4f7012d897,Brown,633,43,32019.76,84059.94,0,43001781,2023-04-20 17:03:45,1.7426
95,cf13b67f-cbda-453c-bf72-5771a5e4fe48,Wilson,630,67,10689.42,112887.67,0,15512424,2023-10-21 16:07:51,0.7023
96,a9792179-e7c2-4ca8-83e3-5842f85b48a3,Miller,576,34,5252.67,57999.75,1,99980396,2023-02-10 12:33:50,0.1315
97,4929dfc8-af3f-4f0f-9b0d-6555e4a3ef2b,Johnson,664,27,68004.29,41761.56,1,87099156,2023-07-19 17:09:11,0.3215
98,3cdf489a-23be-4312-ac6b-bab200b7a64d,Wilson,663,19,108692.62,28098.07,2,83161040,2023-10-25 01:22:58,-2.6254
99,911cc608-707d-4123-9be0-8f0815c063e9,Brown,650,41,52611.02,15197.92,2,62465095,2023-05-31 11:29:23,-0.4552
100,64f18dbd-f77a-4e53-b661-6a88105d3175,Johnson,638,28,7783.6,48906.91,1,60992606,2023-01-27 08:52:52,-0.1436
101,176fe814-cfbe-4529-bf97-70c7e58d75e6,Rodriguez,579,41,136588.81,132160.23,1,86192250,2023-07-13 01:18:02,0.4381
102,06e2dc4b-a213-46ee-9b26-ae6c009754bd,Rodriguez,628,52,225958.87,54081.44,2,66894644,2023-02-13 12:24:40,-0.0255
103,b650c7c5-0ddd-426e-a85d-1300fc7d6d4b,Jones,632,40,28403.2,151249.59,0,91820653,2023-09-13 06:13:24,0.3339
104,77708391-7ea4-474f-8e08-b9fa75815200,Williams,609,49,45171.85,26488.92,1,77238321,2023-02-12 02:31:38,-1.3232
105,24fa3021-fd83-4da5-a40c-7dd65465a0b4,Williams,641,40,75080.44,71273.76,1,97137430,2023-06-30 21:26:13,-1.5813
106,e0e4d88b-3a40-4dad-a9ed-25ab49177210,Smith,670,51,66664.19,62760.99,1,71173540,2023-12-27 08:50:46,-1.1831
107,bbbe8de4-1f7b-49ae-82eb-492a1413182e,Garcia,744,58,171769.56,66598.69,1,14347675,2023-04-25 14:31:54,1.5712
108,d4f0a8e1-fee7-454d-9cbb-ad98503d27aa,Williams,658,36,6101.78,62145.35,0,20272214,2023-08-25 23:23:45,-1.2679
109,4203f455-b021-46cd-887c-553946794f8d,Brown,662,19,43461.4,15035.1,1,27344715,2023-04-19 16:49:55,-0.7886
110,21a6fa8f-468d-4eb9-a10e-1993c301504d,Johnson,646,68,58871.64,9300.43,2,25597135,2023-02-05 09:08:05,0.1052
111,31ef7cee-e54d-4ed2-aa4d-e167a1c2a763,Garcia,554,19,110408.5,230741.14,0,20211476,2023-08-26 01:29:55,-1.5916
112,d5a0b56f-84d1-4983-8df3-2c87545c7ac7,Williams,648,32,103617.19,2781.18,2,78150548,2023-08-15 09:53:24,-0.8723
113,7241c436-5700-41d6-93c7-4207090024ec,Johnson,653,38,190835.17,37837.0,2,56190504,2023-09-22 06:12:02,0.6768
114,ba3191f8-f17c-4d9d-bb3d-b2bec07d154f,Smith,773,52,35880.03,33211.5,1,81180322,2023-08-03 00:46:41,-0.438
115,17fdbf2d-4c69-44a3-8cb4-4a0cf1093029,Wilson,640,22,88822.13,26779.0,2,96384640,2023-12-23 08:51:41,1.6835
116,2e9a231f-a704-4ee8-9010-ac0293f9fa2c,Johnson,665,60,27868.07,91391.17,0,15955277,2023-08-15 21:44:15,-1.6986
117,3c939edf-1001-425a-b710-1e5ca0242846,Johnson,648,44,27436.23,82071.98,0,61677651,2023-03-01 13:15:44,-0.3456
118,315f284b-6ede-4ffa-bf9a-6dda04a917f9,Brown,591,41,14607.83,141374.93,0,62689361,2023-05-18 17:21:38,-0.4378
119,ae7e273b-40d7-45fe-b194-bda27625773a,Smith,707,24,85252.66,30199.98,1,59904066,2023-06-29 09:53:29,-0.0089
120,c209fb4b-e9bc-41ba-9d90-92322481eba8,Smith,687,23,212778.88,49831.49,2,49250522,2023-01-01 15:55:11,-1.2268
121,77081a34-2afd-4e07-93f1-b27ca57be403,Miller,689,63,14808.68,133708.27,0,14692037,2023-04-01 02:33:44,-0.5805
122,5914c713-c807-4a3c-972e-22a8844a1e4b,Jones,604,50,2888.43,305459.3,0,32682466,2023-07-31 20:28:32,0.7891
123,dc41a528-eb85-4ac3-beda-9130e977bb1a,Smith,720,66,84516.79,208998.54,0,74726012,2023-05-07 11:21:11,-0.2694
124,8f8ca7ea-3a8f-4a56-805d-eaa595a519f2,Miller,579,34,48409.48,75917.68,1,40236763,2023-05-31 10:19:00,-1.0697
125,ccb3ed23-f96a-4f03-beaa-7c1a8762373a,Garcia,679,63,160568.7,9274.98,2,53948924,2023-01-10 19:15:27,2.0801
126,977e95a8-e366-4f9a-90b9-99d68021daad,Jones,759,59,14533.61,1407.54,1,46014178,2023-12-27 23:17:31,0.0491
127,52acf655-eac0-438b-b291-3df469a6bf9a,Williams,600,47,3683.82,104653.07,0,87910013,2023-06-14 16:42:11,0.6133
128,34f33ea9-9d56-4d9e-987b-17fff69ff7b8,Williams,621,25,33907.24,110309.19,0,53674109,2023-10-08 19:21:08,0.7641
129,6ab06c84-7e5a-4ac2-8e17-f9761044696e,Johnson,654,57,4467.03,82310.58,0,63716532,2023-12-16 03:02:50,-0.0708
130,44d1e9d1-f1fb-45be-b069-ba354251e78f,Rodriguez,624,63,15176.35,19703.87,1,27362743,2023-01-30 07:31:18,-0.7897
131,5663d1b3-85fe-4fdd-9de2-4830fb3cd13c,Rodriguez,572,24,6732.48,61268.73,1,79295610,2023-03-23 18:22:21,0.1992
132,8e5f7fea-0441-43e3-8b4d-a3b64781fab8,Davis,653,23,12688.66,22809.64,1,11737665,2023-02-09 17:12:55,-0.7001
133,9be2ac3e-5c15-423f-a70c-720e4b521fdd,Smith,596,21,5610.57,35940.98,1,89517634,2023-02-25 10:06:41,0.3716
134,c516fdba-1f22-4412-bdeb-b9409ae81160,Smith,673,18,153853.62,28918.27,2,52183456,2023-11-26 18:08:53,-0.1642
135,4739db9e-2558-40f1-ad08-7e7066bd6fd3,Brown,604,32,16325.49,146953.9,0,89539671,2023-10-23 06:38:21,1.0294
136,acba46a6-7064-4e5e-8d75-5196ee9958a8,Johnson,727,48,29340.14,16006.71,1,98412438,2023-07-13 06:50:59,-1.1415
137,fd0d63fd-8fde-4233-93c9-e2c15166d413,Williams,610,42,114439.93,51709.7,2,40778196,2023-10-31 22:27:57,0.7185
138,5198205c-45b2-4c60-acc1-e5365d54ae53,Johnson,633,64,56554.95,26869.32,1,79750269,2023-07-12 18:43:51,0.6138
139,5824b843-4c36-4527-95f7-58b487c9043d,Smith,690,50,48121.64,65273.0,1,99272750,2023-05-19 07:30:35,-0.239
140,f69b2116-fef0-47e9-99b4-b6c6a19c54df,Williams,588,69,61134.54,49884.33,1,36929593,2023-12-24 03:31:15,0.7302
141,35ce3789-26bf-4886-93b5-393452a4b537,Davis,661,52,88252.64,154603.7,0,62215628,2023-10-25 23:36:43,0.4189
142,68e1b22e-f240-410c-9820-fa055dba1b8e,Wilson,715,22,105051.35,6429.2,2,99767655,2023-05-15 03:13:06,0.6672
143,d135647c-3220-4b1c-b905-4ad482ddd53f,Rodriguez,569,22,51450.53,14957.0,2,20940151,2023-12-03 23:00:52,0.6035
144,748d5f96-e48e-418c-a8ed-8839c8da9411,Wilson,659,53,110367.05,87235.34,1,16585938,2023-07-10 21:20:03,0.0501
145,c14777a2-fb12-4f9d-97c8-2e2e5ed2a7f1,Rodriguez,662,34,38328.66,27606.7,1,55767170,2023-12-25 23:19:42,-0.5962
146,f91683dd-a0c2-4cd1-8100-a0e9cb9c9bd1,Garcia,689,70,16237.42,10875.76,1,46243900,2023-01-14 23:45:31,-0.6078
147,772572dd-92e4-4e62-b687-915eee14679f,Miller,588,69,106045.15,41988.71,2,31629150,2023-10-08 17:38:44,-0.2146
148,a3e4791c-36cf-4425-a484-d00d6f29175a,Smith,583,31,38986.79,63357.67,1,19075449,2023-06-07 04:58:48,0.8431
149,eb80a942-146c-4984-90c2-47e24f0a5173,Garcia,676,46,118296.26,2751.75,2,51679039,2023-05-18 20:35:25,0.6322
150,d4ce20e7-fac3-405c-a3ce-6c557fa7de5d,Garcia,664,25,2049.84,20686.64,1,81277101,2023-11-07 14:36:42,1.006
151,138a74f9-de8f-4e48-a7c3-e7fb8c0590e2,Rodriguez,662,51,25334.69,99461.79,0,31689126,2023-06-27 18:26:39,1.1063
152,afeea1c8-22ed-4bd7-98f1-af05ee6fb390,Wilson,667,57,147638.45,44068.73,2,13234856,2023-04-12 06:17:19,-0.217
153,9cb3ca50-e988-4ac3-8ffb-9901a5eb612d,Miller,615,18,14360.78,2161.21,2,50790666,2023-12-29 13:12:34,1.9624
154,83a74881-b067-41a4-9300-4897bce6c523,Williams,661,46,141967.42,19873.05,2,87223976,2023-04-05 14:32:14,-0.104
155,6a106d40-9813-4d45-97c8-dd09d9b37e9b,Miller,664,53,153849.79,61156.02,2,91154029,2023-09-17 20:24:29,-0.4939
156,21330402-ad69-426c-9cab-90835a31677d,Garcia,614,68,106913.87,13340.59,2,67545902,2023-09-11 22:39:45,0.3333
157,a2ef83b3-7a77-4199-943e-d1fae6739b1f,Davis,743,54,41467.6,105403.72,0,94958656,2023-07-16 12:23:41,0.4837
158,17d0e7e7-973d-44d5-ae92-7478c6882499,Garcia,673,46,52055.79,67727.45,1,50780578,2023-01-10 19:06:00,-0.7416
159,1e658b45-d3df-4171-a822-67c0552f4826,Williams,590,22,101863.95,38249.02,2,62008950,2023-11-07 23:11:34,-0.1587
160,7575455f-3e58-45b1-9d38-5620dcba26a5,Garcia,682,70,74782.49,148348.18,0,29903394,2023-08-19 23:07:05,-0.447
161,06e99a54-caf9-45c4-a7c6-de64a112f4b3,Jones,601,49,49725.3,29835.17,1,81522626,2023-07-17 22:56:59,0.1415
162,1f627b08-7ab2-4f15-85b7-2249ce4d77c9,Davis,689,69,201595.0,16078.52,2,65169923,2023-02-01 09:17:39,0.7959
163,12c98db4-e17f-4daa-bdfb-273526f306e8,Brown,707,41,57866.65,64976.68,1,54369175,2023-02-20 16:26:45,-0.2659
164,b31600ac-d4e4-4f97-a185-adcf54cbc791,Williams,608,36,185417.37,51099.77,2,50440925,2023-11-24 02:16:57,0.5727
165,21806617-2ed5-448c-8dca-d19df3ad2155,Miller,698,29,2955.05,24500.47,1,99824095,2023-06-16 12:01:51,-1.3888
166,9ddb475e-4915-4913-a60b-d675b6655c6f,Rodriguez,670,69,7480.74,25265.0,1,60080624,2023-04-20 05:01:41,0.8898
167,10419216-2d70-4a6d-a661-0bace771d5a6,Brown,691,18,30024.65,30470.83,1,21155795,2023-06-01 00:21:06,-0.4534
168,ff5d8999-201b-4a8b-ad2f-6a768d299037,Rodriguez,744,24,24296.85,20645.71,1,39604259,2023-12-06 20:42:16,-0.4713
169,1870376f-8406-4d41-b6fb-52172c3a6963,Williams,637,34,76331.84,74322.43,1,16223052,2023-08-13 22:00:19,0.4003
170,31eaca7d-2e16-491b-aa16-b11577fb35a0,Miller,612,51,8754.23,63222.65,1,70324099,2023-01-20 11:26:56,0.4529
171,aa297eb5-a10e-4c79-abc3-6be25a382bbb,Jones,605,60,186683.76,34872.49,2,20576554,2023-10-24 02:52:33,-0.1123
172,6a9f881b-ea25-467c-ae14-b45a55eb19ba,Rodriguez,609,24,18921.63,30435.39,1,68985458,2023-03-16 18:21:08,-0.8888
173,fd021ede-6485-4982-b4a2-944e9ca859dd,Miller,646,34,28011.62,27252.66,1,30676413,2023-01-28 04:04:29,-0.4796
174,d7af3395-8c07-46dd-b922-4e53eca42763,Johnson,667,20,16061.6,19999.97,1,62977288,2023-12-07 06:34:21,0.0952
175,7d8d0e9a-2832-4b32-be2f-fc058944f3af,Brown,663,46,43299.33,5375.57,2,48110485,2023-07-28 00:18:15,0.4898
176,d642a694-a951-4df1-acb2-44fbffba947a,Jones,691,39,3020.88,18735.27,1,50789763,2023-09-28 22:57:58,-0.8229
177,2e8486bc-971b-4b9a-adb9-730d43dfdd6e,Rodriguez,650,55,8106.98,23245.84,1,40696319,2023-08-10 21:46:00,-0.6401
178,ffd43b2d-4f26-4f11-bf84-51c552f131e0,Smith,722,60,68481.24,47602.45,1,94505507,2023-12-30 05:04:48,0.2629
179,c44f066a-22de-4138-91e0-c3dbac372f91,Rodriguez,636,46,10320.5,89177.1,0,24815173,2023-07-13 06:34:57,-0.0832
180,eb1e5cc4-573b-4406-8f48-550139935a40,Wilson,786,67,13427.61,30221.28,1,22271906,2023-12-09 15:17:34,0.1465
181,f4c68adb-6b0d-4717-b5bf-91024fa1e695,Smith,681,67,78747.53,173760.72,0,12267936,2023-04-30 13:29:13,-2.6144
182,99136a1e-8d45-4570-bea4-554189e4d781,Smith,607,59,4897.25,105389.32,0,56180998,2023-07-13 22:39:15,-0.2949
183,70643e4d-6fab-40f0-9318-db366d0eba45,Brown,596,22,28765.88,251194.89,0,70782696,2023-08-10 16:32:15,0.8533
184,96ecb10b-c96f-4adf-b4a2-5fba2ea7d713,Miller,674,47,1166.68,125346.75,0,51873122,2023-06-13 11:14:14,-0.6159
185,89cf16ba-c427-4344-9a95-fbd1a15e80bc,Johnson,638,40,21294.16,57540.3,1,62963254,2023-03-26 20:32:28,0.4865
186,c67c74dc-3fc5-46ed-825d-abcbcc3e41d9,Smith,685,38,60029.16,54749.77,1,34180088,2023-11-29 05:42:54,-1.2087
187,9728356b-85c5-4f90-8b6e-faeb01bf2131,Brown,673,43,4721.21,8323.05,1,74974766,2023-06-29 03:07:08,-1.5628
188,262ffedd-8153-49fc-ad89-a19d386f452e,Garcia,646,64,109612.43,76894.28,1,92796733,2023-10-19 04:49:20,0.4178
189,009affc2-565d-4c37-b67a-c03b9ba2fae5,Miller,607,38,120119.74,55008.48,2,24931138,2023-03-23 20:54:28,-0.0545
190,61382617-2759-43ff-b0a0-176afe0ed5a1,Jones,574,37,5546.04,42426.5,1,69168319,2023-10-24 16:45:05,-0.3359
191,c3352e01-0a69-4063-bccd-b05a48fc1b55,Smith,627,40,234061.74,70910.54,2,37828600,2023-12-22 08:31:09,0.8465
192,da69d6cf-204c-4028-ba7b-ebdfbcba631f,Williams,692,21,17657.6,35224.38,1,22615938,2023-04-22 20:32:30,-0.3118
